State,Crop,Year,Season,Area (ha),Production (tonnes),Yield (tonnes/ha),Fertilizer Used,Irrigation Type,Soil Type,Pesticide Used,Temperature (°C),Rainfall (mm),Labor Count,District,Market Price (Rs/quintal),Government Support
Tamil Nadu,Sugarcane,2021,Zaid,36867.7,121515.03,3.3,DAP,Sprinkler,Black,No,30.5,1364.9,18,Patna,4841.01,No
Tamil Nadu,Rice,2019,Zaid,3846.1,15763.35,4.1,MOP,Rainfed,Red,Yes,25.8,506.1,85,Chennai,2014.68,Yes
Bihar,Maize,2021,Rabi,36377.94,156994.75,4.32,DAP,Drip,Sandy,Yes,25.3,1348.9,41,Patna,4499.91,Yes
Haryana,Sugarcane,2021,Kharif,15907.87,48905.08,3.07,Compost,Rainfed,Sandy,No,38.6,906.9,48,Bangalore,4696.31,Yes
Bihar,Wheat,2017,Zaid,30980.79,59436.08,1.92,Urea,Canal,Black,No,23.4,390.6,13,Patna,3681.66,Yes
Bihar,Sugarcane,2019,Zaid,49178.31,142631.3,2.9,Compost,Canal,Sandy,No,31.6,1632.2,62,Patna,4725.07,Yes
West Bengal,Maize,2021,Kharif,4187.53,18201.75,4.35,DAP,Drip,Red,Yes,31.1,1069.5,24,Patna,2591.51,No
Bihar,Rice,2018,Kharif,1782.35,3908.13,2.19,Compost,Canal,Red,No,34.8,1957.1,96,Mumbai,4812.06,Yes
Bihar,Sugarcane,2020,Kharif,41826.55,84493.56,2.02,Urea,Rainfed,Red,Yes,30,635.2,54,Chennai,3811.13,No
Punjab,Sugarcane,2018,Rabi,21832.64,46368.71,2.12,None,Sprinkler,Clay,Yes,25.4,1013.3,24,Amritsar,1168.02,Yes
Bihar,Cotton,2018,Rabi,23037.95,61867.28,2.69,DAP,Drip,Red,No,23.4,951.2,40,Chennai,4627.49,No
Bihar,Sugarcane,2017,Rabi,16941.19,45165.75,2.67,Compost,Canal,Red,Yes,32.4,329.5,31,Ludhiana,2937.89,No
Haryana,Cotton,2018,Kharif,14765.79,46188.69,3.13,DAP,Rainfed,Clay,No,34.4,909.6,76,Bangalore,2841.31,No
Punjab,Cotton,2021,Kharif,1766.18,4892.68,2.77,None,Rainfed,Loamy,No,31.4,646.4,36,Mumbai,3265.87,Yes
Punjab,Sugarcane,2019,Zaid,35636.01,131390.74,3.69,Compost,Canal,Sandy,Yes,34.8,404.6,5,Lucknow,1597.54,Yes
Punjab,Maize,2021,Rabi,18564.82,34300.49,1.85,Compost,Rainfed,Red,Yes,22.8,636.1,21,Mumbai,2876.66,No
Tamil Nadu,Wheat,2020,Rabi,5675.1,14825.94,2.61,DAP,Rainfed,Sandy,No,37.6,543.2,13,Kolkata,4324.51,No
Maharashtra,Cotton,2019,Rabi,44473.42,129713.17,2.92,DAP,Drip,Black,No,31.6,1494.7,88,Patna,1061.93,Yes
West Bengal,Maize,2017,Kharif,28502.58,108677.53,3.81,Urea,Rainfed,Sandy,No,22.5,158.5,49,Ludhiana,2091.67,Yes
Tamil Nadu,Maize,2017,Zaid,21949.51,34598.08,1.58,None,Canal,Clay,No,29.2,1273.2,70,Patna,1009.82,No
West Bengal,Maize,2017,Kharif,25919.96,109452.2,4.22,Urea,Drip,Sandy,No,36.9,1545.3,36,Bangalore,2662.85,Yes
Tamil Nadu,Cotton,2019,Kharif,12211.11,21136.7,1.73,Compost,Canal,Sandy,No,38,1013.4,49,Lucknow,3913.26,Yes
Uttar Pradesh,Maize,2020,Rabi,31593.35,75410.2,2.39,DAP,Sprinkler,Sandy,Yes,25.3,1870,13,Ludhiana,4195.09,Yes
West Bengal,Sugarcane,2020,Rabi,44280.73,109507.8,2.47,Compost,Canal,Loamy,Yes,34.2,1445,34,Kolkata,4780.76,Yes
Tamil Nadu,Sugarcane,2017,Zaid,45434.59,105244.54,2.32,Compost,Canal,Loamy,Yes,22,1521.1,88,Mumbai,3434.02,Yes
Uttar Pradesh,Wheat,2020,Kharif,43175.8,65664.19,1.52,MOP,Drip,Black,Yes,20.7,474.2,42,Lucknow,2018.51,Yes
Karnataka,Maize,2017,Rabi,11883.28,22098.1,1.86,MOP,Rainfed,Clay,No,31.2,1576.9,64,Amritsar,4696.59,No
Bihar,Maize,2017,Kharif,4179.72,9453.47,2.26,Compost,Canal,Sandy,Yes,33.9,1681,5,Chennai,4101.26,No
Bihar,Rice,2019,Kharif,8256.26,37097.2,4.49,DAP,Drip,Sandy,Yes,35.9,786.4,9,Mumbai,3297.71,No
Uttar Pradesh,Wheat,2018,Rabi,21140.81,33807.37,1.6,Compost,Sprinkler,Sandy,No,26.8,505.4,67,Lucknow,3782.56,No
Karnataka,Wheat,2017,Zaid,34354.57,106251.94,3.09,MOP,Drip,Sandy,Yes,20.1,831.6,40,Amritsar,4697.27,No
Haryana,Sugarcane,2019,Zaid,12865.84,50297.96,3.91,DAP,Drip,Loamy,No,29.6,1505.3,69,Amritsar,3849.58,No
West Bengal,Sugarcane,2018,Rabi,20542.4,81128.01,3.95,Compost,Rainfed,Black,No,20.3,893.5,82,Kolkata,2473.5,Yes
Karnataka,Wheat,2017,Zaid,10139.41,16449.42,1.62,None,Canal,Red,No,21.8,1499.6,77,Kolkata,3852.11,Yes
Bihar,Sugarcane,2019,Zaid,35846.33,140822.42,3.93,None,Sprinkler,Clay,No,26.5,315.8,98,Chennai,1161.11,No
Bihar,Sugarcane,2017,Kharif,20481.03,62533.79,3.05,Compost,Drip,Sandy,No,28.7,1631.4,28,Amritsar,2545.66,No
Karnataka,Wheat,2019,Kharif,6560.2,28038.83,4.27,DAP,Canal,Black,Yes,25.6,581.1,8,Ludhiana,2625.29,No
Maharashtra,Rice,2019,Zaid,33339.22,131745.48,3.95,Compost,Canal,Red,Yes,31.6,573,82,Bangalore,1667.35,Yes
Punjab,Sugarcane,2020,Kharif,12850.76,22865.46,1.78,Compost,Drip,Black,Yes,21.1,1221.7,93,Amritsar,1092.34,Yes
Bihar,Cotton,2021,Zaid,10246.65,23942.47,2.34,MOP,Canal,Loamy,No,22.9,233.2,72,Lucknow,1533.52,Yes
Uttar Pradesh,Maize,2020,Rabi,39213.9,134350.54,3.43,None,Drip,Red,Yes,33.9,150,29,Kolkata,3618.49,Yes
Uttar Pradesh,Wheat,2020,Rabi,33780.42,109518.14,3.24,MOP,Drip,Black,Yes,22.8,596,78,Bangalore,4209.16,No
Karnataka,Wheat,2019,Kharif,1248.02,2474.1,1.98,MOP,Drip,Loamy,Yes,32.8,1122.3,11,Ludhiana,4952.81,No
Haryana,Rice,2019,Kharif,11989.2,43599.18,3.64,Compost,Sprinkler,Black,Yes,21.1,1824.5,17,Kolkata,2385.45,No
Punjab,Cotton,2020,Zaid,36326.06,88060.99,2.42,MOP,Drip,Black,No,28.1,1708.2,72,Ludhiana,3397.52,No
Karnataka,Sugarcane,2019,Zaid,32180.3,72450.26,2.25,None,Rainfed,Red,Yes,23.5,1031.8,47,Kolkata,4748.58,Yes
Maharashtra,Cotton,2019,Rabi,45398.84,127261.26,2.8,MOP,Canal,Loamy,No,22.2,170.4,61,Kolkata,1668.17,Yes
West Bengal,Wheat,2020,Zaid,25133.37,52421.4,2.09,None,Sprinkler,Sandy,No,31.3,1117,40,Amritsar,3870.58,No
West Bengal,Maize,2020,Zaid,38659.15,63045.78,1.63,MOP,Canal,Clay,Yes,38.6,1439.1,18,Patna,4019.91,Yes
Bihar,Sugarcane,2021,Rabi,45828.36,119633.84,2.61,None,Sprinkler,Red,No,21.1,744.4,86,Amritsar,1355.9,Yes
Punjab,Cotton,2021,Kharif,28085.48,90347.55,3.22,MOP,Rainfed,Loamy,No,28.4,311,76,Kolkata,4445,Yes
Bihar,Wheat,2020,Zaid,15979.15,33120.51,2.07,MOP,Sprinkler,Black,No,34.2,629.3,31,Bangalore,4252.42,Yes
Punjab,Maize,2018,Kharif,20339.88,82023.4,4.03,DAP,Sprinkler,Loamy,No,29.3,1566,41,Amritsar,1133.61,No
Uttar Pradesh,Rice,2018,Zaid,26398.15,109080.3,4.13,None,Sprinkler,Clay,No,36.1,767.4,91,Kolkata,1364.34,Yes
Punjab,Wheat,2017,Zaid,35736.64,112872.75,3.16,None,Canal,Clay,No,23.6,1642.8,75,Kolkata,1196.51,No
